datetime,open,high,low,close,volume
2025-02-25 15:05:00,6349.621,6351.823,6349.621,6350.722,4721
2025-02-25 15:06:00,6350.171,6350.722,6345.216,6345.216,7507
2025-02-25 15:07:00,6345.216,6346.317,6341.912,6343.564,10830
2025-02-25 15:08:00,6343.013,6343.564,6340.811,6341.912,6907
2025-02-25 15:09:00,6341.912,6343.013,6341.912,6341.912,3372
2025-02-25 15:10:00,6341.912,6343.564,6340.811,6341.912,5995
2025-02-25 15:11:00,6341.361,6342.463,6340.811,6341.912,2780
2025-02-25 15:12:00,6342.463,6343.564,6340.811,6341.912,5386
2025-02-25 15:13:00,6341.912,6342.463,6335.855,6337.507,16344
2025-02-25 15:14:00,6337.507,6339.71,6335.855,6339.71,9857
2025-02-25 15:15:00,6339.71,6340.811,6337.507,6337.507,4832
2025-02-25 15:16:00,6338.058,6338.608,6335.305,6336.406,7500
2025-02-25 15:17:00,6336.406,6337.507,6336.406,6337.507,3007
2025-02-25 15:18:00,6337.507,6338.608,6336.406,6336.957,2929
2025-02-25 15:19:00,6336.957,6338.608,6336.406,6337.507,2762
2025-02-25 15:20:00,6337.507,6338.058,6336.406,6336.957,2660
2025-02-25 15:21:00,6337.507,6337.507,6335.855,6336.406,1597
2025-02-25 15:22:00,6336.957,6338.608,6335.855,6337.507,4195
2025-02-25 15:23:00,6337.507,6338.608,6335.855,6336.957,3079
2025-02-25 15:24:00,6336.406,6338.058,6336.406,6336.957,3692
2025-02-25 15:25:00,6336.406,6336.957,6335.855,6336.957,4407
2025-02-25 15:26:00,6336.406,6337.507,6335.855,6336.957,1754
2025-02-25 15:27:00,6337.507,6338.058,6336.957,6337.507,1175
2025-02-25 15:28:00,6337.507,6338.608,6335.855,6338.608,3833
2025-02-25 15:29:00,6338.608,6339.159,6337.507,6338.058,2658
2025-02-25 15:30:00,6338.608,6339.159,6336.957,6336.957,3424
2025-02-25 15:31:00,6337.507,6337.507,6335.855,6336.957,3132
2025-02-25 15:32:00,6336.957,6337.507,6335.855,6335.855,1626
2025-02-25 15:33:00,6335.855,6336.957,6335.855,6336.957,793
2025-02-25 15:34:00,6336.957,6336.957,6334.754,6335.855,5202
2025-02-25 15:35:00,6336.406,6336.406,6334.754,6335.855,2818
2025-02-25 15:36:00,6335.305,6336.406,6335.305,6335.855,1106
2025-02-25 15:37:00,6335.855,6337.507,6335.305,6336.406,3001
2025-02-25 15:38:00,6336.406,6337.507,6336.406,6337.507,854
2025-02-25 15:39:00,6336.957,6336.957,6334.754,6335.855,2990
2025-02-25 15:40:00,6335.855,6336.406,6334.204,6334.204,5519
2025-02-25 15:41:00,6334.204,6335.855,6333.653,6334.754,5504
2025-02-25 15:42:00,6334.204,6334.754,6326.495,6330.349,19330
2025-02-25 15:43:00,6329.799,6330.9,6327.596,6329.799,9816
2025-02-25 15:44:00,6329.248,6333.102,6329.248,6331.45,7964
2025-02-25 15:45:00,6330.9,6332.552,6329.248,6329.799,5532
2025-02-25 15:46:00,6329.799,6332.001,6329.799,6332.001,1784
2025-02-25 15:47:00,6331.45,6333.102,6330.9,6332.552,4902
2025-02-25 15:48:00,6332.001,6333.653,6329.799,6330.9,7229
2025-02-25 15:49:00,6330.9,6332.552,6329.799,6332.552,2655
2025-02-25 15:50:00,6332.552,6335.855,6332.552,6334.754,7231
2025-02-25 15:51:00,6334.754,6335.855,6334.204,6334.204,2573
2025-02-25 15:52:00,6334.754,6334.754,6333.653,6334.204,2963
2025-02-25 15:53:00,6334.754,6335.855,6333.653,6334.204,1927
2025-02-25 15:54:00,6334.204,6334.754,6333.102,6334.204,1228
2025-02-25 15:55:00,6334.204,6336.406,6333.653,6334.204,5076
2025-02-25 15:56:00,6333.653,6334.204,6333.653,6334.204,413
